Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9842860,"Regulation of endogenous retroelements",68,113,0.006999504459861249,0.319083993959964,0.7464451806258714,17,17,0.0010713385429795815,9606,Homo sapiens,"H2AX;EHMT2;CHD4;CHD3;ACTB;ACTG1;BCL7A;ZNF805;BCL7C;H2BC21;DPF1;DPF2;DPF3;ZNF765;RBM7;ZNF324;H3-3A;H3-3B;ZNF320;SS18;SMARCC1;ZNF680;ZFP1;H2AC6;ACTL6A;SSR3;ARID1A;ARID1B;SPOCD1;H2AJ;ZNF519;ZNF93;H2BC11;ZNF317;TRIM13;ZNF555;ZNF28;ZCCHC8;ZNF397;SMARCD2;HDAC2;SMARCD3;HDAC1;ZNF7;REPIN1;ZNF708;RBBP4;TASOR;ZNF669;SSR1;RBBP7;ZNF226;MTA3;MORC2;ZNF224;SMARCE1;H2BC9;H4C8;ZNF264;H2AZ2;CBX5;UBE2I;H2BC8;H2BC5;SS18L1;SMARCA2;GATAD2B;GATAD2A;ZNF33B;ZNF33A;ZNF816;ZNF610;ZNF354A;ZNF136;MPHOSPH8;ZNF454;ZNF850","","R-HSA-9843990;R-HSA-9843927;R-HSA-9842839;R-HSA-9842868;R-HSA-9842835;R-HSA-9842833;R-HSA-9845308;R-HSA-9842876;R-HSA-9727450;R-HSA-9844057;R-HSA-9843993;R-HSA-9844006;R-HSA-9842850;R-HSA-9844015;R-HSA-9844111;R-HSA-9844716;R-HSA-9843978"
R-HSA-68949,"Orc1 removal from chromatin",37,60,0.0037165510406342913,0.3204621948568589,0.7464451806258714,4,4,2.5207965717166626E-4,9606,Homo sapiens,"PSMD11;PSMD14;MCM7;PSMD13;MCM8;RPN1;CUL1;PSMB6;PSMD8;ORC5;PSMB7;ORC4;PSMD6;ORC6;ORC1;PSMD2;ORC3;PSMD3;PSMD1;SKP2;CCNL1;RPS27A;CCN1;SKP1;CDT1;CDC6;RBX1;SEM1;CCNA2;PSMA4;PSMC3;PSMC1;CDK2;PSMC2;CDK1;MCM3;MCM4;MCM5;MCM6;CC2D1B;MCM2","","R-HSA-68944;R-HSA-68947;R-HSA-68946;R-HSA-68948"
R-HSA-9686114,"Non-canonical inflammasome activation",12,18,0.0011149653121902874,0.3233874440029725,0.7464451806258714,17,17,0.0010713385429795815,9606,Homo sapiens,"SERPINB1;IL1B;CASP3;CASP4;IL18;CALM3;CALM1;GBP2;CALM2;GBP1","","R-HSA-9947861;R-HSA-9686096;R-HSA-9947987;R-HSA-9948146;R-HSA-9686100;R-HSA-9947934;R-HSA-9947997;R-HSA-9686271;R-HSA-9947908;R-HSA-9947940;R-HSA-9958657;R-HSA-9947937;R-HSA-9948160;R-HSA-9960526;R-HSA-9960522;R-HSA-9947978;R-HSA-9947849"
R-HSA-2032785,"YAP1- and WWTR1 (TAZ)-stimulated gene expression",12,18,0.0011149653121902874,0.3233874440029725,0.7464451806258714,9,9,5.67179228636249E-4,9606,Homo sapiens,"TEAD4;KAT2B;CCN2;TBX5;HIPK1;TEAD1;RUNX2;TEAD2;TEAD3;HIPK2","","R-HSA-2032781;R-HSA-2032794;R-HSA-8871266;R-HSA-8871265;R-HSA-1989766;R-HSA-2032775;R-HSA-8871260;R-HSA-2064932;R-HSA-2032800"
R-HSA-399956,"CRMPs in Sema3A signaling",12,18,0.0011149653121902874,0.3233874440029725,0.7464451806258714,5,5,3.150995714645828E-4,9606,Homo sapiens,"NRP1;GSK3B;GSK3A;SEMA3A;DPYSL4;CDK5;FES;DPYSL2;DPYSL3;PLXNA1;FYN;PLXNA3;CDK5R1","","R-HSA-399951;R-HSA-399946;R-HSA-399947;R-HSA-399931;R-HSA-399944"
R-HSA-437239,"Recycling pathway of L1",34,55,0.003406838453914767,0.3241026748851952,0.7464451806258714,14,14,8.822788001008318E-4,9606,Homo sapiens,"SRC;CLTA;AP2A1;ACTB;ACTG1;RPS6KA4;RPS6KA3;TUBA1C;TUBB6;RPS6KA6;TUBA1B;TUBA1A;TUBB3;DPYSL2;RPS6KA2;RPS6KA1;AP2S1;MAPK1;AP2M1;MAPK3;TUBB;RDX;MSN;AP2B1;TUBB4B;L1CAM;TUBA4A;DNM1;DNM2;DNM3;SHTN1;TUBB2B;TUBB2A;KIF4A;EZR","","R-HSA-443783;R-HSA-443779;R-HSA-445089;R-HSA-392749;R-HSA-445071;R-HSA-392748;R-HSA-373736;R-HSA-374696;R-HSA-374677;R-HSA-445079;R-HSA-555065;R-HSA-445077;R-HSA-445084;R-HSA-374680"
R-HSA-5358508,"Mismatch Repair",15,23,0.0014246778989098117,0.3251057454994425,0.7464451806258714,17,17,0.0010713385429795815,9606,Homo sapiens,"PCNA;LIG1;RPA1;RPA2;MLH1;POLD3;MSH6;POLD4;MSH2;EXO1;MSH3;RPA3;POLD1;POLD2;CDC27;PMS2","","R-HSA-5358545;R-HSA-5358513;R-HSA-5358512;R-HSA-5358579;R-HSA-5358519;R-HSA-5358518;R-HSA-5358619;R-HSA-5358525;R-HSA-5444511;R-HSA-5358912;R-HSA-5358592;R-HSA-5358597;R-HSA-5358599;R-HSA-5358919;R-HSA-5444516;R-HSA-5444523;R-HSA-5358510"
R-HSA-1839117,"Signaling by cytosolic FGFR1 fusion mutants",15,23,0.0014246778989098117,0.3251057454994425,0.7464451806258714,14,14,8.822788001008318E-4,9606,Homo sapiens,"STAT5A;STAT5B;STAT1;STAT3;GAB2;PIK3R1;BCR;ZMYM2;CUX1;PIK3CA;CNTRL;TRIM24;MYO18A;GRB2;LRRFIP1","","R-HSA-1839102;R-HSA-1839039;R-HSA-1839065;R-HSA-1839067;R-HSA-1839031;R-HSA-1839095;R-HSA-1839091;R-HSA-1839080;R-HSA-1839112;R-HSA-1839114;R-HSA-1888198;R-HSA-1839078;R-HSA-1839110;R-HSA-1839107"
R-HSA-180292,"GAB1 signalosome",15,23,0.0014246778989098117,0.3251057454994425,0.7464451806258714,11,11,6.932190572220821E-4,9606,Homo sapiens,"EGF;SRC;PXN;GAB1;PTPN11;PIK3R1;AREG;EGFR;EREG;PIK3CA;CSK;GRB2;PAG1;HBEGF","","R-HSA-177923;R-HSA-177939;R-HSA-177920;R-HSA-177926;R-HSA-177927;R-HSA-177924;R-HSA-177941;R-HSA-177930;R-HSA-179467;R-HSA-177944;R-HSA-177935"
R-HSA-2022090,"Assembly of collagen fibrils and other multimeric structures",41,67,0.004150148662041626,0.32680051817088973,0.7464451806258714,24,26,0.0016385177716158306,9606,Homo sapiens,"COL17A1;COL18A1;COL15A1;COL14A1;COL12A1;LOXL4;CTSV;CTSS;LOXL1;LOXL2;CTSL;CTSB;COL27A1;LAMB3;COL24A1;MMP1;MMP3;PCOLCE;MMP10;COL1A1;COL3A1;MMP13;BMP1;COL1A2;LOX;COL4A2;COL5A1;COL4A1;COL6A2;COL7A1;COL5A3;COL6A1;PXDN;COL5A2;COL8A2;COL4A6;COL4A5;COL8A1;ITGA6;EMID1;PLEC","","R-HSA-2395302;R-HSA-2022141;R-HSA-2395340;R-HSA-2213192;R-HSA-2213195;R-HSA-1474266;R-HSA-2396234;R-HSA-2559639;R-HSA-2213201;R-HSA-2213200;R-HSA-2395223;R-HSA-2213205;R-HSA-2243926;R-HSA-2214324;R-HSA-2395314;R-HSA-2213207;R-HSA-2395324;R-HSA-2243931;R-HSA-2214330;R-HSA-2213210;R-HSA-2002466;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301"
R-HSA-165054,"Rev-mediated nuclear export of HIV RNA",28,45,0.0027874132804757185,0.33137019549545876,0.7464451806258714,8,10,6.301991429291656E-4,9606,Homo sapiens,"NUP205;POM121;SEH1L;NUP107;NUP188;AAAS;XPO1;POM121C;NUP85;NUP62;TPR;PIM1;NUP88;NUP43;EMB;RANBP2;NUP214;NDC1;RANBP1;SEC13;NUP155;RANGAP1;NUP93;NUP50;NUP35;NUP54;RAN;NUP37","","R-HSA-180739;R-HSA-165043;R-HSA-165047;R-HSA-165028;R-HSA-180885;R-HSA-165034;R-HSA-165055;R-HSA-180687"
R-HSA-5693537,"Resolution of D-Loop Structures",25,40,0.002477700693756194,0.3349131390426564,0.7464451806258714,13,13,8.192588858079153E-4,9606,Homo sapiens,"BLM;MRE11;BRCA1;BRCA2;BACH1;RAD51AP1;BRIP1;EME1;EME2;EXO1;FIRRM;FIGNL1;RBBP8;RFFL;BARD1;RMI2;RMI1;XRCC2;XRCC3;SPIDR;PALB2;SEM1;RAD50;RAD51D;RAD51C;RAD51;ATM","","R-HSA-5693589;R-HSA-5686483;R-HSA-5693584;R-HSA-5686398;R-HSA-5686430;R-HSA-9853368;R-HSA-5686469;R-HSA-5693539;R-HSA-9853376;R-HSA-9853389;R-HSA-5686410;R-HSA-5686475;R-HSA-5686440"
R-HSA-5696394,"DNA Damage Recognition in GG-NER",25,40,0.002477700693756194,0.3349131390426564,0.7464451806258714,5,5,3.150995714645828E-4,9606,Homo sapiens,"INO80C;INO80D;GPS1;ACTB;ACTG1;YY1;TFPT;RUVBL1;RPS27A;PARP1;PARP2;ACTR5;ACTL6A;RAD23A;INO80;ACTR8;RAD23B;RBX1;DDB2;COPS4;DDB1;COPS3;COPS6;COPS2;COPS8","","R-HSA-5691006;R-HSA-6782943;R-HSA-5696655;R-HSA-5691004;R-HSA-5696664"
R-HSA-8931987,"RUNX1 regulates estrogen receptor mediated transcription",7,10,6.194251734390486E-4,0.3382137780554093,0.7464451806258714,8,8,5.041593143433325E-4,9606,Homo sapiens,"GPAM;AXIN1;KCTD6;RUNX1","","R-HSA-8932076;R-HSA-8931981;R-HSA-8932033;R-HSA-8932020;R-HSA-8932084;R-HSA-8932037;R-HSA-8932021;R-HSA-8932070"
R-HSA-139915,"Activation of PUMA and translocation to mitochondria",7,10,6.194251734390486E-4,0.3382137780554093,0.7464451806258714,5,5,3.150995714645828E-4,9606,Homo sapiens,"PPP1R13B;TFDP1;TFDP2;E2F1;TP53;BBC3","","R-HSA-139914;R-HSA-139913;R-HSA-4331324;R-HSA-4331340;R-HSA-140221"
R-HSA-428890,"Role of ABL in ROBO-SLIT signaling",7,10,6.194251734390486E-4,0.3382137780554093,0.7464451806258714,4,4,2.5207965717166626E-4,9606,Homo sapiens,"CAP1;ABL1;SLIT2;CLASP1;ROBO1;CAP2;CLASP2","","R-HSA-428885;R-HSA-428883;R-HSA-376141;R-HSA-428888"
R-HSA-8948747,"Regulation of PTEN localization",7,10,6.194251734390486E-4,0.3382137780554093,0.7464451806258714,4,4,2.5207965717166626E-4,9606,Homo sapiens,"USP7;TEP1;PTEN;XIAP;RPS27A;PML;RPF1","","R-HSA-6807126;R-HSA-6807106;R-HSA-6807105;R-HSA-6807118"
R-HSA-2470946,"Cohesin Loading onto Chromatin",7,10,6.194251734390486E-4,0.3382137780554093,0.7464451806258714,2,2,1.2603982858583313E-4,9606,Homo sapiens,"MAU2;NIPBL;STAG2;RAD21;PDS5B;SMC3;SMC1A","","R-HSA-2470935;R-HSA-2468040"
R-HSA-1500931,"Cell-Cell communication",196,336,0.02081268582755203,0.33865038012007,0.7464451806258714,172,185,0.011658684144189564,9606,Homo sapiens,"RB1;PRDM8;PATJ;KDM1A;PVR;CLDN1;ACTB;ACTG2;AMOT;ACTG1;FOXQ1;CDH6;PSMD8;MTBP;CDH4;PSMD6;MYC;PSMD2;ZC3H12A;PSMD3;SIRPA;PSMD1;KMT5A;KIRREL3;KIRREL1;PRKCI;H2AC6;ACTN1;MAGI2;CSNK2A2;DNTTIP1;KRT8;CASK;ANK3;ACTN4;ZBTB33;CD2AP;ADAM19;CLDN4;ILF3;TMEM258;PARD3;CSNK2B;CBLL1;VCL;SKAP2;COL17A1;PSMD11;CTBP2;PSMD14;CTBP1;FBLIM1;PSMD13;PXN;RPN1;TWIST1;PIK3R1;IQGAP1;PSAP;CDH24;PIP5K1C;RSU1;HOXC8;SPTBN1;H4C8;VASP;TFAP2A;OST4;CADM1;JUP;FOXF1;PARVA;PARVB;PTK2;ARHGAP33;SEM1;ARHGAP32;MOV10;SDK1;AFDN;SP1;AGO4;OSTC;AGO2;STT3A;MDM2;SNAI1;SNAI2;GRB2;TCF3;FERMT2;PALS1;EZH2;H2AX;ITGB1;POMT2;PRKCSH;POMT1;WASL;CTSV;PIK3CB;CTSS;ZMYM2;CTSL;H2BC21;CLDN23;NCK2;RACK1;ME2;SPTAN1;H3-3A;CTSB;H3-3B;NCK1;TGIF2;EED;TCF12;KRT34;ARID1A;SIRT1;DDOST;DNM2;CLDN11;ACTA2;H2AJ;ZEB2;PKM;ZEB1;PSMA4;PIK3CA;DAD1;CANX;CLDN12;CDH11;H2BC11;STRAP;ITGA6;CD47;ANGPTL4;PLEC;HDAC2;KRT80;WBP1;SRC;HDAC1;PARD6G;FURIN;PSMB6;PSMB7;PARD6B;RBBP4;MCRIP1;CTNNA1;MAPK1;FLNA;PTK2B;FYN;FLNC;RBBP7;RPS27A;SEC11A;EPS15;MAPK3;H2BC9;SUZ12;H2AZ2;H2BC8;H2BC5;LAMB3;FOXJ2;PTPN11;KLF4;TNRC6C;HEYL;PSMC3;PSMC1;KLF9;PSMC2;ZYX;ZNF217;CTNNB1;NECTIN3;MPHOSPH8;TNRC6A;NECTIN2;LIMS2;NECTIN1;TNRC6B;SPC25;LIMS1","","R-HSA-9766293;R-HSA-9934486;R-HSA-9765015;R-HSA-430341;R-HSA-9764752;R-HSA-391168;R-HSA-9760402;R-HSA-432897;R-HSA-9768082;R-HSA-9934751;R-HSA-9765788;R-HSA-9765791;R-HSA-432909;R-HSA-430347;R-HSA-9764741;R-HSA-9768071;R-HSA-9932162;R-HSA-9760641;R-HSA-9768067;R-HSA-9760652;R-HSA-9761421;R-HSA-9768079;R-HSA-9760399;R-HSA-9766286;R-HSA-9933194;R-HSA-9764791;R-HSA-9766065;R-HSA-9764786;R-HSA-433711;R-HSA-9932988;R-HSA-9765049;R-HSA-9935547;R-HSA-9768614;R-HSA-420661;R-HSA-9765542;R-HSA-432946;R-HSA-9934755;R-HSA-9934753;R-HSA-9765539;R-HSA-9773218;R-HSA-451377;R-HSA-9934752;R-HSA-9761452;R-HSA-9765293;R-HSA-432956;R-HSA-433725;R-HSA-9766062;R-HSA-9768616;R-HSA-432952;R-HSA-9764778;R-HSA-9768618;R-HSA-9930711;R-HSA-9816277;R-HSA-9934294;R-HSA-9816276;R-HSA-9816278;R-HSA-5692437;R-HSA-9816273;R-HSA-9816275;R-HSA-9765330;R-HSA-451403;R-HSA-9764826;R-HSA-9765850;R-HSA-9764827;R-HSA-9833671;R-HSA-9760965;R-HSA-9762246;R-HSA-9764800;R-HSA-9765313;R-HSA-9761474;R-HSA-9768643;R-HSA-9935552;R-HSA-9759950;R-HSA-9765326;R-HSA-9833674;R-HSA-9833672;R-HSA-9764811;R-HSA-9767924;R-HSA-9817330;R-HSA-9767922;R-HSA-9756414;R-HSA-9764863;R-HSA-9934330;R-HSA-9934584;R-HSA-532603;R-HSA-446322;R-HSA-9817325;R-HSA-446077;R-HSA-9762282;R-HSA-9761047;R-HSA-446083;R-HSA-9759516;R-HSA-9768477;R-HSA-9762333;R-HSA-419981;R-HSA-9759513;R-HSA-446089;R-HSA-9761025;R-HSA-9764866;R-HSA-8981534;R-HSA-9761027;R-HSA-446364;R-HSA-9759502;R-HSA-9759496;R-HSA-446372;R-HSA-451758;R-HSA-9768511;R-HSA-451757;R-HSA-446391;R-HSA-9768484;R-HSA-420019;R-HSA-9759522;R-HSA-419002;R-HSA-9761065;R-HSA-419003;R-HSA-419001;R-HSA-9765973;R-HSA-9768533;R-HSA-9816148;R-HSA-9761110;R-HSA-9765974;R-HSA-419011;R-HSA-9766227;R-HSA-9816153;R-HSA-9774168;R-HSA-9764932;R-HSA-9764934;R-HSA-9933380;R-HSA-9759809;R-HSA-9764930;R-HSA-373714;R-HSA-9932352;R-HSA-373724;R-HSA-9766223;R-HSA-373727;R-HSA-9934411;R-HSA-9934410;R-HSA-9765960;R-HSA-9766219;R-HSA-373722;R-HSA-420582;R-HSA-430311;R-HSA-430308;R-HSA-420580;R-HSA-373734;R-HSA-9774195;R-HSA-9932913;R-HSA-420591;R-HSA-9765756;R-HSA-391151;R-HSA-391150;R-HSA-420586;R-HSA-420584;R-HSA-391157;R-HSA-420598;R-HSA-9768293;R-HSA-391156;R-HSA-391158;R-HSA-9761120;R-HSA-391153;R-HSA-373745;R-HSA-420595;R-HSA-391152;R-HSA-9768288;R-HSA-420592;R-HSA-391155;R-HSA-373747;R-HSA-9767779;R-HSA-420593;R-HSA-9765742;R-HSA-9935209;R-HSA-9767787"
